,0
V1,1.1683749838001528e-15
V2,3.416908049651284e-16
V3,-1.379536707896593e-15
V4,2.0740951198584196e-15
V5,9.604066317127324e-16
V6,1.4873130132010145e-15
V7,-5.556467295694611e-16
V8,1.2134813634275587e-16
V9,-2.4063305498905906e-15
V10,2.2390527426993533e-15
V11,1.673326932726423e-15
V12,-1.2470117695222676e-15
V13,8.190001274383203e-16
V14,1.2072942051600827e-15
V15,4.887455859804944e-15
V16,1.4377159541859243e-15
V17,-3.7721706856547467e-16
V18,9.564149167014576e-16
V19,1.0399166050935636e-15
V20,6.406203628719748e-16
V21,1.654066907797022e-16
V22,-3.568593220079729e-16
V23,2.5786478972835623e-16
V24,4.473265530947536e-15
V25,5.340914685085768e-16
V26,1.6834371984034178e-15
V27,-3.6600908126037946e-16
V28,-1.2273899954199695e-16
